ligand_id,engine_status,ref_stage0_pass,ref_stage1_gate_pass
ZINCf5000001osMH,hotspot_filtered,True,False
ZINCf50000035tY0,candidate,True,True
ZINCf500000092rn,candidate,True,True
ZINCf5000001DiJe,candidate,True,True
ZINCf5000000at3L,hotspot_filtered,True,False
ZINCf5000002aWhm,candidate,True,True
ZINCf50000036feX,candidate,True,True
ZINCf50000028jVR,candidate,True,True
ZINCf50000009aQK,candidate,True,True
ZINCf5000002OfyG,candidate,True,True
ZINCf5000000alOw,hotspot_filtered,True,False
ZINCf5000001wb0h,candidate,True,True
ZINCf50000035280,candidate,True,True
ZINCf50000034xs1,candidate,True,True
ZINCf50000035wGO,candidate,True,True
ZINCf5000000acd3,candidate,True,True
ZINCf50000009wyg,candidate,True,True
ZINCf500000264ro,candidate,True,True
ZINCf5000000YbPh,candidate,True,True
ZINCf5000000aakf,candidate,True,True
ZINCf5000000ZvLs,candidate,True,True
ZINCf5000002rQJB,candidate,True,True
ZINCf50000008AoT,candidate,True,True
ZINCf50000009rWL,candidate,True,True
ZINCf50000025tBQ,candidate,True,True
ZINCf5000002aOc2,hotspot_filtered,True,False
ZINCf5000000alxZ,candidate,True,True
ZINCf5000002sGi6,candidate,True,True
ZINCf5000000atW6,candidate,True,True
ZINCf50000035L6E,candidate,True,True
ZINCf50000034qZB,candidate,True,True
ZINCf5000003qnGH,candidate,True,True
ZINCf50000008Lan,candidate,True,True
ZINCf50000009FSL,candidate,True,True
ZINCf5000000SKPV,candidate,True,True
ZINCf5000002aOc3,hotspot_filtered,True,False
ZINCf5000002segg,candidate,True,True
ZINCf50000008ExI,hotspot_filtered,True,False
ZINCf50000036e86,candidate,True,True
ZINCf50000017I5A,candidate,True,True
ZINCf5000000Ybcw,candidate,True,True
ZINCf50000009hXl,candidate,True,True
ZINCf5000000YaUz,candidate,True,True
ZINCf5000001qm5O,candidate,True,True
ZINCf500000292mg,candidate,True,True
ZINCf50000008Dod,candidate,True,True
ZINCf5000000Ybib,candidate,True,True
ZINCf5000002dYoa,candidate,True,True
ZINCf50000017DqO,candidate,True,True
ZINCf5000001QAPO,candidate,True,True
ZINCf5000000abZq,hotspot_filtered,True,False
ZINCf5000000YaZN,candidate,True,True
ZINCf5000003oBjq,candidate,True,True
ZINCf5000001818l,candidate,True,True
ZINCf5000002Kvbl,hotspot_filtered,True,False
ZINCf50000036fBS,candidate,True,True
ZINCf5000000alxC,candidate,True,True
ZINCf5000002dYpi,candidate,True,True
ZINCf5000001onov,candidate,True,True
ZINCf5000002rPQy,candidate,True,True
ZINCf5000002JlQz,hotspot_filtered,True,False
ZINCf5000000Zyex,candidate,True,True
ZINCf50000008S8L,candidate,True,True
ZINCf50000036g0B,hotspot_filtered,True,False
ZINCf5000000alsm,hotspot_filtered,True,False
ZINCf5000003qCNc,candidate,True,True
ZINCf50000035OHV,candidate,True,True
ZINCf5000000akwX,candidate,True,True
ZINCf5000001LV9a,candidate,True,True
ZINCf5000003pCdO,candidate,True,True
ZINCf5000002rS98,hotspot_filtered,True,False
ZINCf5000003qkEO,candidate,True,True
ZINCf5000002sfcv,candidate,True,True
ZINCf5000000acD0,hotspot_filtered,True,False
ZINCf5000002svfT,candidate,True,True
ZINCf5000000acdL,hotspot_filtered,True,False
ZINCf50000008UKt,candidate,True,True
ZINCf50000023xoF,candidate,True,True
ZINCf50000034ptA,candidate,True,True
ZINCf50000017qq3,warn_only_flagged,True,True
ZINCf50000026UaV,candidate,True,True
ZINCf50000009Fta,hotspot_filtered,True,False
ZINCf5000003pBUd,candidate,True,True
ZINCf5000000acYB,hotspot_filtered,True,False
ZINCf5000000aee7,candidate,True,True
ZINCf5000002585w,candidate,True,True
ZINCf5000002aScU,candidate,True,True
ZINCf5000000Zwh0,candidate,True,True
ZINCf50000034qns,candidate,True,True
ZINCf5000001RpY9,warn_only_flagged,True,True
ZINCf5000000ZrqI,candidate,True,True
ZINCf5000001ZsyW,candidate,True,True
ZINCf5000000YaJS,hotspot_filtered,True,False
ZINCf5000000acYs,hotspot_filtered,True,False
ZINCf5000000aer8,candidate,True,True
ZINCf50000029Y4E,candidate,True,True
ZINCf50000009vNp,candidate,True,True
ZINCf5000002aVew,candidate,True,True
ZINCf5000000aa4b,candidate,True,True
ZINCf50000009r7e,candidate,True,True
ZINCf5000000a181,hotspot_filtered,True,False
ZINCf5000000absw,candidate,True,True
ZINCf5000000Zs7s,candidate,True,True
ZINCf5000000acDQ,candidate,True,True
ZINCf5000002aTlg,candidate,True,True
ZINCf5000000at7h,candidate,True,True
ZINCf5000001oiYi,candidate,True,True
ZINCf5000002dYno,candidate,True,True
ZINCf5000000aa4c,candidate,True,True
ZINCf50000036763,hotspot_filtered,True,False
ZINCf50000034qOa,hotspot_filtered,True,False
ZINCf50000008EXD,candidate,True,True
ZINCf5000002NM4N,candidate,True,True
ZINCf50000029YkI,hotspot_filtered,True,False
ZINCf5000000WzE6,hotspot_filtered,True,False
ZINCf5000003pydZ,candidate,True,True
ZINCf5000001vlyY,candidate,True,True
ZINCf5000003p5LK,candidate,True,True
ZINCf5000000ac7N,candidate,True,True
ZINCf50000026YZ4,candidate,True,True
ZINCf50000025ZxH,hotspot_filtered,True,False
ZINCf5000000Zqwq,candidate,True,True
ZINCf5000003pnv1,candidate,True,True
ZINCf5000000a5Kr,hotspot_filtered,True,False
ZINCf5000000Zv9Z,hotspot_filtered,True,False
ZINCf5000002dYjP,hotspot_filtered,True,False
ZINCf5000002Jl9F,candidate,True,True
ZINCf5000002a4Dt,candidate,True,True
ZINCf5000000acNK,candidate,True,True
ZINCf5000001onnP,candidate,True,True
ZINCf50000031lez,hotspot_filtered,True,False
ZINCf50000031xHn,candidate,True,True
ZINCf5000003pH5g,candidate,True,True
ZINCf5000000a5xf,hotspot_filtered,True,False
ZINCf5000000ZvbA,hotspot_filtered,True,False
ZINCf5000002aMrd,candidate,True,True
ZINCf50000035oMZ,candidate,True,True
ZINCf50000009Xjr,candidate,True,True
ZINCf50000035wEH,hotspot_filtered,True,False
ZINCf50000027sEX,candidate,True,True
ZINCf50000035SgF,candidate,True,True
ZINCf5000000ZuiR,candidate,True,True
ZINCf5000001tGVo,candidate,True,True
ZINCf5000000a5xj,hotspot_filtered,True,False
ZINCf5000002Kuqf,hotspot_filtered,True,False
ZINCf5000003qCMi,candidate,True,True
ZINCf500000369vs,candidate,True,True
ZINCf50000009W2D,candidate,True,True
ZINCf500000181iC,hotspot_filtered,True,False
ZINCf5000002sekd,candidate,True,True
ZINCf50000035Q5z,hotspot_filtered,True,False
ZINCf5000000Zv3N,candidate,True,True
ZINCf50000008VQg,candidate,True,True
ZINCf5000000ZrKi,candidate,True,True
ZINCf50000035XNj,candidate,True,True
ZINCf5000000a5nD,candidate,True,True
ZINCf5000003oDh3,candidate,True,True
ZINCf5000003p8KR,candidate,True,True
ZINCf50000035wsX,candidate,True,True
ZINCf50000009tbl,candidate,True,True
ZINCf50000009YGE,candidate,True,True
ZINCf5000002rXUq,candidate,True,True
ZINCf5000002KpOJ,warn_only_flagged,True,True
ZINCf5000002Khk5,candidate,True,True
ZINCf5000003634A,candidate,True,True
ZINCf5000000a5zk,candidate,True,True
ZINCf5000002e22i,candidate,True,True
ZINCf5000002KvaQ,hotspot_filtered,True,False
ZINCf50000018cVh,candidate,True,True
ZINCf500000093ff,candidate,True,True
ZINCf5000000a0Sx,candidate,True,True
ZINCf50000009pJ1,candidate,True,True
ZINCf50000009vem,candidate,True,True
ZINCf5000000ZsXZ,candidate,True,True
ZINCf5000000ZtYW,candidate,True,True
ZINCf5000000ZrRZ,candidate,True,True
ZINCf5000000Ybyz,candidate,True,True
ZINCf5000000aa5p,candidate,True,True
ZINCf50000009be6,hotspot_filtered,True,False
ZINCf500000093fh,candidate,True,True
ZINCf50000035RrA,candidate,True,True
ZINCf5000002seWN,candidate,True,True
ZINCf5000000Zt3B,candidate,True,True
ZINCf5000000acm4,candidate,True,True
ZINCf50000036eSM,candidate,True,True
ZINCf50000034rDx,candidate,True,True
ZINCf50000017Kgc,candidate,True,True
ZINCf5000000aahM,candidate,True,True
ZINCf50000009bel,hotspot_filtered,True,False
ZINCf50000026aGv,candidate,True,True
ZINCf50000035RrK,candidate,True,True
ZINCf5000000aw12,candidate,True,True
ZINCf5000000Zt3G,candidate,True,True
ZINCf5000000acDF,candidate,True,True
ZINCf50000036eSN,candidate,True,True
